Company,Country,Funding Amount USD,Stage,Date,Sub-sector,Lead Investor,Co-investors,Website,Included From
Ahlan App,Bahrain,"3,000,000",Not stated,2024 (round referenced in 2025 post),App / consumer platform,Hope Ventures,"Al Rajhi Holdings, angel investors",Not stated,Pasted text (3).txt
Ahlan App,Bahrain,3 million,First investment round,Feb 2024,Loyalty / fintech-adjacent rewards platform,Hope Ventures,"Al Rajhi Holdings, angels",Not stated,Pasted text (5).txt
Aion Digital,Bahrain,5M,Bridge,Feb 2023,Digital banking infrastructure,Fintactics Ventures,-,https://aiondigital.com,original_csv
Arab Financial Services,Bahrain,50 million,Not stated,Oct 2024,Payments infrastructure,Not stated,Not stated,Not stated,Pasted text (5).txt
CoinMENA,Bahrain,9.5M,Seed,2021,Crypto exchange,BECO Capital,Kenetic; Arab Bank Switzerland,https://coinmena.com,original_csv
Fintologya,Bahrain,"1,000,000",Seed,"14 Sep 2025 article; round itself is post-2024, so outside your requested window",Fintech infrastructure,Gulf holding company,Not fully specified,Not stated,Pasted text (3).txt
Receiptable,Bahrain,Undisclosed,Pre-Seed,22 Mar 2024,Fintech,HP Spring Studios,"Al Waha Fund of Funds, Hambro Perks",Not stated,Pasted text (3).txt
Receiptable,Bahrain,Undisclosed,Pre-Seed,29 Feb 2024,Fintech / digital receipts,HP Spring Studios,"Al Waha Fund of Funds, Hambro Perks",Not stated,Pasted text (3).txt
Receiptable,Bahrain,Undisclosed,Pre-Seed,Feb 2024,Fintech / digital receipts,HP Spring Studios,"Al Waha Fund of Funds, Hambro Perks",Not stated,Pasted text (5).txt
Tarabut Gateway,Bahrain,32M,Series A,May 2023,Open banking infrastructure,Pinnacle Capital,Visa; Tiger Global; Aljazira Capital,https://tarabut.com,original_csv
Bazzar Gate,Kuwait,"1,000,000",Not stated,2024 (round referenced in 2025 post),Not stated,Not stated,Not stated,Not stated,Pasted text (3).txt
Kem,Kuwait,"3,000,000",Not stated,2024 (round referenced in 2025 post),Not stated,Not stated,Not stated,Not stated,Pasted text (3).txt
krti,Kuwait,"1,500,000",Pre-seed,2024 (round referenced in 2025 post),Not stated,Not stated,Not stated,Not stated,Pasted text (3).txt
mojo,Kuwait,Seven-figure seed,Seed,2024 (round referenced in 2025 post),Not stated,Joa Capital and Emkan Capital,Not stated,Not stated,Pasted text (3).txt
Mushtari,Kuwait,"200,000",Not stated,2024 (round referenced in 2025 post),Not stated,Not stated,Not stated,Not stated,Pasted text (3).txt
Sakan,Kuwait,"12,000,000",Series A,2024 (round referenced in 2025 post),Proptech,Not stated,Not stated,Not stated,Pasted text (3).txt
IO Kitchens,Oman,"2,800,000",Seed,8 Sep 2024,Cloud kitchen,Tanmia Small-Cap Fund,Family offices and regional investors,Not stated,Pasted text (3).txt
IO Kitchens,Oman,2.8 million,Seed,Sep 2024,Not fintech; excluded from a strict fintech-only cut,Tanmia Small-Cap Fund,Family offices and regional investors,Not stated,Pasted text (5).txt
QPay,Oman,Undisclosed,Seed,Sep 2024,BNPL / payments,Cyfr Capital,Future Fund Oman mandate context,Not stated,Pasted text (5).txt
Sampo AI,Oman,"750,000",Pre-Seed,"31 Dec 2024 article; round is 2024, slightly outside your 2020-2024 scope but still within the window by announcement date",SaaS / AI pricing,Omantel Innovation Labs and Waad VC,"Hexnture, Saudi angel investors",Not stated,Pasted text (3).txt
CWallet,Qatar,875k,Pre-Series A,Jun 2022,Wallet/payroll/payments,MBK Holding,Angels.qa,https://cwallet.qa,original_csv
KARTY,Qatar,"2,000,000+",Seed,31 Dec 2023,Fintech,Local investors,Not disclosed,Not stated,Pasted text (3).txt
KARTY,Qatar,2 million+,Seed,Dec 2023 / Jan 2024 publication,Fintech / payments,Local investors,Not disclosed,Not stated,Pasted text (5).txt
Karty,Qatar,1.2M,Pre-seed,Jul 2022,Wallet/payments,"Visa, QDB, Qatar Foundation",-,https://karty.com.qa,original_csv
ShipBee,Qatar,"235,000",Pre-Seed,"2025 article; round itself described as pre-seed, but outside your requested window if you only want 2020-2024 announcements",Logistics / AI logistics marketplace,GrowthX,"Two angel investors, founders' bootstrapped capital",Not stated,Pasted text (3).txt
SkipCash,Qatar,2M,Seed,Apr 2021,Payments,Private local investors,-,https://skipcash.app,original_csv
Ajras,Saudi Arabia,28 million,Seed,31 Oct 2023,Proptech / rent payment solutions,Madarek International,Other investors not named in source,Not stated,Pasted text (2).txt
AtarCloud,Saudi Arabia,1.3 million,Seed,6 Jan 2023,Proptech / property management software,BIM Ventures,Investors' Mine Group and other investors,Not stated,Pasted text (2).txt
Barakah,Saudi Arabia,Undisclosed,Funding round (stage not specified in snippet),Mar 2024,Fooh / food waste,FoodLabs,Not fully specified in snippet,Not stated,Pasted text (4).txt
BRKZ,Saudi Arabia,8 million,Series A,Mar 2024,Contech / construction tech,BECO Capital and 9900 Capital,"Wa'ed Ventures, Knollwood Investment Advisory, RZM Investment, MISY Ventures",Not stated,Pasted text (4).txt; Pasted text (5).txt
CashIn,Saudi Arabia,1.6 million,Seed,2021 round referenced in later report,Fintech / energy-sector payments,Investor Mine,BIM Ventures and several angels,Not stated,Pasted text (2).txt
DESAISIV,Saudi Arabia,2 million,Pre-Seed,25 Jul 2023,Insurtech / AI SaaS,500 Global,"Terra VC, Oqal, family offices, insurance investors",Not stated,Pasted text (2).txt
EdfaPay,Saudi Arabia,1.6M,Pre-seed,Feb 2022,Tap-to-pay/POS payments,Nuwa Capital,InspireUs VC,https://edfapay.com,original_csv
erad,Saudi Arabia,2.4M,Pre-seed,Sep 2022,SME revenue-based finance,Nuwa Capital,VentureSouq,https://erad.co,original_csv
Foodics,Saudi Arabia,Not captured,Not captured,2021-2023 coverage exists in open reports,Restaurant tech / SaaS,Not captured,Not captured,Not stated in accessible snippet,Pasted text (2).txt
Funding Souq,Saudi Arabia,2.5M,Seed,Mar 2022,SME lending/crowdfunding,Angel investors,Amal Dokhan; Omar Aljeraisy,https://fundingsouq.com,original_csv
Grintafy,Saudi Arabia,Undisclosed,Strategic funding / growth,Mar 2024,SportsTech,Chiliz,Not fully specified in snippet,Not stated,Pasted text (4).txt
Grintafy Technologies,Saudi Arabia,1.25 million,Seed,6 May 2021,Sports / talent platform,Wa'ed Ventures,Not fully specified,Not stated,Pasted text (2).txt
HAD,Saudi Arabia,5 million,Pre-Seed,Mar 2024,Eh,Dar Al Majed Investment,Not fully specified in snippet,Not stated,Pasted text (4).txt
Hakbah,Saudi Arabia,5.1M,Series A,Dec 2023,Savings/social finance,VentureSouq,M-Capital; Bunat Ventures,https://hakbah.com,original_csv
Kaso,Saudi Arabia,10.5 million,Seed,11 Jul 2023,Fooh / B2B F&B marketplace,Spade Ventures,"Hala Ventures, Seedra Ventures, Cyfr Capital, BY Venture Partners, Pioneer Fund, Vulpes Ventures, GFC, MSA Novo, Y Combinator, family offices",Not stated,Pasted text (2).txt
Lamaa,Saudi Arabia,19 million SAR; 7.5 million SAR from Wa'ed,Venture investment / seed-like round,8 Dec 2021,Fintech / SME financing,Raed Ventures and Wa'ed,Other investors not specified,Not stated,Pasted text (2).txt
Lean Technologies,Saudi Arabia,33 million,Series A,2022 (referenced in 2024 report),Banking infrastructure / open banking,Not fully visible in 2024 snippet,Not fully visible in 2024 snippet,Not stated,Pasted text (5).txt
Lean Technologies,Saudi Arabia,67.5M,Series B,Nov 2024,Open banking infrastructure,General Catalyst,Bain Capital Ventures; Duquesne; Arbor; Shorooq,https://leantech.me,original_csv
Lendo,Saudi Arabia,Not captured,Not captured,2021-2023 coverage exists in open reports,Fintech / SME lending,Not captured,Not captured,Not stated in accessible snippet,Pasted text (2).txt
Lendo,Saudi Arabia,28M,Series B,Dec 2023,SME lending/crowdfunding,Sanabil Investments,Shorooq; AB Ventures,https://lendo.sa,original_csv
Mala,Saudi Arabia,7 million,Pre-Seed,Oct 2024,B2B fintech / payments,VentureSouq and Shorooq Partners,"M Capital, BECO Capital, Access Bridge Ventures, Waad Investment, Palm Ventures, DGV",Not stated,Pasted text (5).txt
Malaa,Saudi Arabia,17.3 million,Series A,Aug 2024,Wealth management / investing,SNB Capital,"Derayah Financial, Khwarizmi Ventures, Impact46, WKN",Not stated,Pasted text (5).txt
Malaa,Saudi Arabia,17.3M,Series A,Sep 2024,Wealth/personal finance,SNB Capital,Derayah Ventures; Khwarizmi; Impact46,https://malaa.tech,original_csv
Manafa Capital,Saudi Arabia,28 million,Series A,6 Jan 2023,Crowdfunding / SME financing,STV,Wa'ed Ventures,Not stated,Pasted text (2).txt
Mazadak,Saudi Arabia,10 million,Venture round,Mar 2024,E-commerce / auctions,Revival Lab,Not fully specified in snippet,Not stated,Pasted text (4).txt
Merit,Saudi Arabia,12 million,Pre-Series B,May 2024,SaaS / customer engagement,Alistithmar Capital i-Cap,"Tech Invest Com, Hambro Perks Oryx Fund",Not stated,Pasted text (4).txt
Moyasar,Saudi Arabia,21 million,Funding round (stage not explicitly clear in snippet),Mar 2024,Payments / fintech,Not fully specified in snippet,Not fully specified in snippet,Not stated,Pasted text (4).txt
Ninja,Saudi Arabia,Undisclosed,Pre-Seed,6 Jan 2023,Quick commerce / grocery delivery,Bunat Ventures,Investors from the US and Saudi Arabia,Not stated,Pasted text (2).txt
Noon,Saudi Arabia,41 million,Series B,1 Nov 2023,Eh,Not stated,Not stated,Not stated,Pasted text (2).txt
Rabeh,Saudi Arabia,"800,000",Seed,Mar 2024,Fintech / trading,Not fully specified in snippet,Not fully specified in snippet,Not stated,Pasted text (4).txt
Red Sea Farms,Saudi Arabia,Not captured,Not captured,2021-2023 coverage exists in open reports,Agritech / climate tech,Not captured,Not captured,Not stated in accessible snippet,Pasted text (2).txt
Rize,Saudi Arabia,2.9 million,Seed,Jan 2024,Proptech,Seedra Ventures,"Hala Ventures, JOA Capital, RZM Investments, Bonat Investments, Nama Ventures, angels",Not stated,Pasted text (4).txt; Pasted text (5).txt
Salla,Saudi Arabia,130 million,Pre-IPO / growth,Mar 2024,E-commerce / SaaS,Investcorp,"Sanabil Investments, STV",Not stated,Pasted text (4).txt
Sary,Saudi Arabia,Not captured,Not captured,2021-2023 coverage exists in open reports,B2B commerce / procurement,Not captured,Not captured,Not stated in accessible snippet,Pasted text (2).txt
SiFi,Saudi Arabia,10 million,Seed,Jun 2024,Fintech / spend management,Sanabil Investments and RAED Ventures,Other investors not fully visible in snippet,Not stated,Pasted text (4).txt
SiFi,Saudi Arabia,10 million,Seed,May 2024,Spend management / fintech infrastructure,Sanabil Investments and RAED Ventures,Not fully specified,Not stated,Pasted text (5).txt
Soum,Saudi Arabia,18 million,Series A,19 Dec 2023,Re-commerce marketplace,Jahez Group,"Isometry Capital, Khwarizmi Ventures, AlRajhi Partners, Outliers Venture Capital",Not stated,Pasted text (2).txt
Tabby,Saudi Arabia,58 million,Growth / late-stage round,16 Jan 2023,BNPL / fintech,PayPal Ventures participated; lead not fully visible in source,Not fully visible in source,Not stated,Pasted text (2).txt
Tabby,Saudi Arabia,58 million,Growth / late-stage,Jan 2023,BNPL / consumer credit,Not fully specified,PayPal Ventures and others,Not stated,Pasted text (5).txt
Tamara,Saudi Arabia,340M,Series C,Dec 2023,BNPL/payments,"SNB Capital, Sanabil",Shorooq; Pinnacle; Impulse,https://tamara.co,original_csv
Wize,Saudi Arabia,16 million,Pre-Seed,14 Nov 2023,Mobility / logistics / greentech,MENA-focused angel investors,Additional angel and strategic investors,Not stated,Pasted text (2).txt
Zetta Technologies,Saudi Arabia,1.5 million,Pre-Seed,Mar 2024,Device management / DaaS,Hambro Perks Oryx Fund,Not fully specified in snippet,Not stated,Pasted text (4).txt
alfii,UAE,"2,500,000",Pre-Seed,5 Jul 2023,HRtech / fintech-powered HR automation platform,Preface Ventures (US-based VC),"Kayan Ventures, Aditum Ventures, Wayfinders, plus local and regional angel investors",Not specified (corporate site not printed),Pasted text(1).txt
Cashee,UAE,"1,000,000",Pre-Seed,31 May 2021,Fintech / eh - youth digital banking & financial literacy,Not disclosed in announcement,Not disclosed,iOS / Android app listing (no corporate URL given in the cited articles),Pasted text(1).txt
ClusterLab,UAE,"600,000",Pre-Seed,Mar 2024,AI / audio tech,Regional investors; specific lead not named,"Karim Beguir, early backers of InstaDeep, regional angels",Not stated,Pasted text (4).txt
CredibleX,UAE,55 million,Seed,Dec 2024,SME lending / revenue financing,Further Ventures,Debt from Kilgour Williams Capital and others,Not stated,Pasted text (5).txt
CredibleX,UAE,55M,Seed equity + debt,Dec 2024,SME lending/embedded finance,Further Ventures,Kilgour Williams Capital,https://crediblex.com,original_csv
eyewa,UAE,100 million,Growth / late-stage,Nov 2024,Eyewear / e-commerce,Not fully specified in snippet,Not fully specified in snippet,Not stated,Pasted text (4).txt
Fenix Games,UAE,"150,000,000",Growth / strategic investment (non-labeled VC round),27 Nov 2022,Gaming / blockchain gaming publisher platform,"Phoenix Group, Cypher Capital",No additional co-investors named in the news item,Not specified in the article (no URL printed),Pasted text(1).txt
FlapKap,UAE,34 million,Pre-Series A,Sep 2024,Revenue-based finance / SME financing,BECO Capital,"Pact VC, A15, Nclude, QED Investors, Channel Capital (debt)",Not stated,Pasted text (5).txt
Fortis,UAE,20M,Series A,Apr 2024,POS/payments/CRM,Opportunity Venture,-,https://fortis.world,original_csv
GrubTech,UAE,15 million,Series B / A extension,May 2024,Fooh / SaaS / unified commerce,Jahez Group,"Addition, Hambro Perks Oryx Fund",Not stated,Pasted text (4).txt
Hayi,UAE,"325,000",Seed,20 Nov 2021,Neighbourhood social-network / community app,"Sarya Holdings, Falak Startups (round ""led by"" these two)",Unnamed angel investors,hayi.app (inferred from Google Play / app branding),Pasted text(1).txt
Hubpay,UAE,"20,000,000",Series A,9 Feb 2022,Fintech - digital wallet / cross-border money transfer platform,"Signal Peak Ventures (referred to as ""Signal Peaking"" in some reports)","Olive Tree Capital, BECO Capital, Stormbreaker, Emkan Capital, plus earlier investors",Not specified (corporate URL not mentioned),Pasted text(1).txt
Immensa,UAE,"20,000,000",Series B,29 Nov 2023,Additive manufacturing / industrial 3D printing,Global Ventures,"Endeavor Catalyst Fund, EDGO, Energy Capital Group (ECG), Shorooq Partners, Green Coast Investments","immensa.io appears in other profiles, but the specific item cited does not print a URL, so treated as not specified here",Pasted text(1).txt
Kema,UAE,2 million,Pre-Seed,Jan 2024,Fintech,Speedinvest,Dubai Future District Fund,Not stated,Pasted text (4).txt; Pasted text (5).txt
Lean Technologies,UAE,67.5 million,Series B,Nov 2024,Fintech infrastructure,General Catalyst,"Bain Capital Ventures, Duquesne Family Office, Arbor Ventures",Not stated,Pasted text (4).txt
Lean Technologies,UAE,67.5 million,Series B,Oct 2024,Banking infrastructure / open banking,General Catalyst,"Bain Capital Ventures, Duquesne Family Office, Arbor Ventures",Not stated,Pasted text (5).txt
LNDDO,UAE,3M,Seed,Nov 2021,SME lending,H.H. Sheikh Tahnoon investors,-,https://lnddo.com,original_csv
Mamo,UAE,3.4M,Extension/venture round,Jul 2024,SME payments/spend management,4DX Ventures,Cyfr Capital,https://mamo.com,original_csv
Mamo,UAE,3.4 million,Funding round,Jun 2024,SMB payments / expense management,4DX Ventures and Dubai Future District Fund,Cyfr Capital,Not stated,Pasted text (5).txt
NOW Money,UAE,4 million,Equity round,May 2024,Digital banking / payroll / remittances,Not stated,Not stated,Not stated,Pasted text (5).txt
OCTA,UAE,2.25 million,Pre-Seed,Oct 2024,Fintech / AR management,Quona Capital and Sadu Capital,Not fully listed in snippet,Not stated,Pasted text (4).txt; Pasted text (5).txt
Pemo,UAE,7 million,Pre-Series A,Nov 2024,Spend management / B2B fintech,Shorooq and Augmentum Fintech,Not stated,Not stated,Pasted text (5).txt
Pemo,UAE,7M,Pre-Series A,Nov 2024,Spend management/cards,"Shorooq, Augmentum Fintech",-,https://pemo.io,original_csv
Prypco,UAE,10 million,Seed,Oct 2024,Proptech,Shorooq Partners,Apparel Group and others,Not stated,Pasted text (4).txt
Pyypl,UAE,11M,Series A,Feb 2022,Digital payments,Family offices/HNWIs,-,https://pyypl.com,original_csv
Qashio,UAE,10M,Seed,Nov 2022,Spend management/cards,Undisclosed group,One Way Ventures; MITAA,https://qashio.com,original_csv
qeen.ai,UAE,2.2 million,Pre-Seed,Jun 2024,AI / e-commerce,Capital,"10x Founders, Aditum, Dara Holdings, Jabbar Group, Phaze Ventures, Eureka 460",Not stated,Pasted text (4).txt
Qlub,UAE,25M,Seed extension,Mar 2023,Restaurant payments,"Cherry Ventures, Point Nine",STV; Raed; Heartcore,https://qlub.io,original_csv
