deal_id,company_name,country,city,date,stage,amount_usd,disclosed,sector,description,founded_year,website,lead_investor,co_investors,investor_types,source,notes
GCC0001,SkipCash,Qatar,Doha,2026-02,Series A,4000000,TRUE,Fintech,Smart payments infrastructure,,,Qatar Development Bank,"Qatar Islamic Insurance Company, KBN Holding, Finjan Venture Investments, Ula Capital, Doha Tech Angels",VC,Perplexity — Fund Portfolio Research,
GCC0002,Juthor,Saudi Arabia,Riyadh,2026-01,Pre-Seed,500000,TRUE,E-commerce & Retail,,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0003,Property Finder,UAE,Dubai,2026-01,Growth,170000000,TRUE,Proptech,,,,Mubadala Investment Company,BECO Capital,VC,Perplexity — Fund Portfolio Research,
GCC0004,EMMA Systems,Qatar,Doha,2025-10,Seed,,FALSE,Deep Tech & AI,Aviation operations AI SaaS platform,,,Plus VC,Angel investors,VC,Perplexity — Fund Portfolio Research,
GCC0005,HALA,Saudi Arabia,Riyadh,2025-09,Series B,157000000,TRUE,Fintech,,,,The Rise Fund (TPG),"Sanabil Investments, MEVP, Wamda Capital, Arzan VC",VC,Perplexity — Fund Portfolio Research,
GCC0006,Calo,Saudi Arabia,Riyadh,2025-07,Series B,39000000,TRUE,Food & Agritech,,,,AlJazira Capital,"Nuwa Capital, STV, Khwarizmi Ventures, Al Faisaliah Group, Oraseya Capital",VC,Perplexity — Fund Portfolio Research,
GCC0007,Lucidya,Saudi Arabia,Riyadh,2025-07,Series B,30000000,TRUE,Deep Tech & AI,,,,Impact46,Wa'ed Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0008,SafaQat,Oman,,2025-06,Seed,,FALSE,SaaS & Enterprise Software,AI-powered B2B digital procurement platform,,,Oman Future Fund,Idrak Group,VC,Perplexity — Fund Portfolio Research,
GCC0009,ShipBee,Qatar,Doha,2025-06,Pre-Seed,235000,TRUE,Logistics & Supply Chain,AI-powered digital logistics marketplace,,,GrowthX,Angel investors,VC,Perplexity — Fund Portfolio Research,
GCC0010,ZabonEx,Oman,,2025-06,Pre-Seed,100000,TRUE,Deep Tech & AI,Predictive analytics for F&B distribution,,,Future Fund Oman,ITHCA Group,VC,Perplexity — Fund Portfolio Research,
GCC0011,Circle,Kuwait,Kuwait City,2025-05,Series A,6000000,TRUE,E-commerce & Retail,Q-commerce and quick delivery marketplace,,,Undisclosed,,VC,Perplexity — Fund Portfolio Research,
GCC0012,PIESHIP,Saudi Arabia,,2025-02,Seed,2100000,TRUE,Logistics & Supply Chain,Smart logistics and last-mile delivery platform,,,Nama Ventures,SEEDRA Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0013,Sampo AI,Oman,,2025-01,Pre-Seed,750000,TRUE,Deep Tech & AI,AI SaaS for e-commerce pricing optimisation,,,Omantel Innovation Labs,"Waad Investment, Hexnture, Saudi angel investors",VC,Perplexity — Fund Portfolio Research,
GCC0014,Fezlee,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Shipping aggregator platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0015,Mrrha,Saudi Arabia,,2024-11,Seed,133059,TRUE,E-commerce & Retail,Community-based online marketplace,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0016,dPhish,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,Anti-phishing and cybersecurity SaaS,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0017,Cyberni,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,Cybersecurity SaaS platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0018,CAMION,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Digital freight management platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0019,Zofa,Saudi Arabia,,2024-11,Seed,133059,TRUE,Healthtech,Digital clinic management platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0020,Devsy,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,AI-powered talent acquisition platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0021,Colada,Saudi Arabia,,2024-11,Seed,133059,TRUE,Other,Consumer tech platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0022,Units,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Warehousing and logistics solutions,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0023,Hollat,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,CRM platform for SMEs,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0024,Sakan,Kuwait,Kuwait City,2024-10,Series A,12000000,TRUE,Proptech,Real estate commerce and shopping platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0025,Bazzar Gate,Kuwait,Kuwait City,2024-09,Seed,1000000,TRUE,E-commerce & Retail,Online commerce and shopping marketplace,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0026,Tenderd,UAE,Dubai,2024-06,Series A,30000000,TRUE,SaaS & Enterprise Software,Heavy equipment management and emissions intelligence platform,,,A.P. Moller Holding,"Wa'ed Ventures, Nakhla Ventures, Soma Capital",VC,Perplexity — Fund Portfolio Research,
GCC0027,Stake,UAE,Dubai,2024-06,Series A,14000000,TRUE,Proptech,Real estate fintech platform for fractional property investing,,,MEVP,"Wa'ed Ventures, Mubadala Investment Company, Al Jomaih Holding, Republic",,News — TechCrunch Middle East,REVIEW | Dubai-based Stake raises $8 million to let people across the globe invest in local properties | https://techcrunch.com/2022/08/29/dubai-based-stake-raises-8-million-to-let-peop
GCC0028,Waves,Kuwait,Kuwait City,2024-06,Seed,,FALSE,SaaS & Enterprise Software,B2B technology software platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0029,Bookr,Kuwait,Kuwait City,2024-02,Seed,,FALSE,Other,Consumer apps and services,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0030,Mushtari,Kuwait,Kuwait City,2024-02,Seed,200000,TRUE,E-commerce & Retail,Online marketplace platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0031,Hakbah,Saudi Arabia,Riyadh,2023-12,Series A,5100000,TRUE,Fintech,Social savings and investment platform,,,VentureSouq,"M-Capital, Bunat Ventures, Global Ventures, Aditum Investment Management",VC,Perplexity — Fund Portfolio Research,
GCC0032,Tamara,Saudi Arabia,Riyadh,2023-12,Series C+,340000000,TRUE,Fintech,Buy-now-pay-later and shopping platform across Saudi Arabia and GCC,,,SNB Capital,Sanabil Investments,VC,Perplexity — Fund Portfolio Research,
GCC0033,Raha,Kuwait,Kuwait City,2023-11,Series A,7000000,TRUE,Logistics & Supply Chain,E-grocery and logistics platform,,,Soor Capital,"eWTP Arabia Capital, Aujan Enterprises, Cedar Mundi Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0034,Kem,Kuwait,,2023-09,Pre-Seed,1000000,TRUE,Fintech,P2P instant payments platform,,,Maqamees Holdings,,VC,Perplexity — Fund Portfolio Research,
GCC0035,Rewaa,Saudi Arabia,Riyadh,2023-08,Series A,27000000,TRUE,SaaS & Enterprise Software,"Retail SaaS for inventory, POS and accounting",,,Wa'ed Ventures,"STC CIF, Graphene Ventures, Sadu Capital, Vision Ventures, Khwarizmi Ventures, Derayah VC",VC,Perplexity — Fund Portfolio Research,
GCC0036,Snoonu,Qatar,Doha,2023-05,Series B,12000000,TRUE,E-commerce & Retail,Super app for e-commerce and Q-commerce,,,Qatar Development Bank,Undisclosed investors,VC,Perplexity — Fund Portfolio Research,
GCC0037,Wafeq,UAE,,2023-01,Seed,3000000,TRUE,SaaS & Enterprise Software,SME accounting and fintech SaaS,,,Raed Ventures,Wamda Capital,VC,Perplexity — Fund Portfolio Research,
GCC0038,Tabby,UAE,Dubai,2023-01,Series C+,58000000,TRUE,Fintech,Buy-now-pay-later fintech platform operating across UAE and Saudi Arabia,,,STV,Sequoia Capital India,VC,Perplexity — Fund Portfolio Research,
GCC0039,KitchenimiKs,Oman,,2022-12,Seed,1700000,TRUE,Food & Agritech,F&B and cloud kitchen platform,,,Angel investors,,VC,Perplexity — Fund Portfolio Research,
GCC0040,Faceki,Bahrain,,2022-08,Seed,,FALSE,SaaS & Enterprise Software,Identity verification and fraud protection platform,,,Nama Ventures,,VC,Perplexity — Fund Portfolio Research,
GCC0041,Tamara,Saudi Arabia,Riyadh,2022-08,Series B,100000000,TRUE,Fintech,Buy-now-pay-later and shopping platform across Saudi Arabia and GCC,,,Sanabil Investments,Coatue,VC,Perplexity — Fund Portfolio Research,
GCC0042,Karty,Qatar,Doha,2022-07,Pre-Seed,1180000,TRUE,Fintech,Personal finance and spend management app,,,Visa,"Qatar Development Bank, Qatar Foundation, angel investors",VC,Perplexity — Fund Portfolio Research,
GCC0043,Raha,Kuwait,Kuwait City,2022-04,Seed,6700000,TRUE,Logistics & Supply Chain,E-grocery and logistics platform,,,Undisclosed regional investors,,VC,Perplexity — Fund Portfolio Research,
GCC0044,Mozn,Saudi Arabia,Riyadh,2022-02,Series A,10000000,TRUE,Deep Tech & AI,,,,Raed Ventures,VentureSouq,VC,Perplexity — Fund Portfolio Research,
GCC0045,TruKKer,Saudi Arabia,Riyadh,2022-01,Series B,96000000,TRUE,Logistics & Supply Chain,,,,ADQ,"Mubadala, Riyad Taqnia Fund, Shorooq Partners, 500 Global",VC,Perplexity — Fund Portfolio Research,
GCC0046,Lamaa,Saudi Arabia,Riyadh,2021-12,Seed,5500000,TRUE,Fintech,,,,Raed Ventures,Wa'ed Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0047,Tabby,UAE,Dubai,2021-08,Series B,50000000,TRUE,Fintech,Buy-now-pay-later fintech platform operating across UAE and Saudi Arabia,,,Global Founders Capital,"STV, Global Founders Capital, Delivery Hero, Arbor Ventures, Raed Ventures, MSA Capital, VentureSouq, Global Ventures, Mubadala",VC,Perplexity — Fund Portfolio Research,
GCC0048,Kitopi,UAE,Dubai,2021-07,Series C+,415000000,TRUE,Food & Agritech,,,,SoftBank Vision Fund 2,BECO Capital,VC,Perplexity — Fund Portfolio Research,
GCC0049,Sarwa,UAE,Abu Dhabi,2021-07,Series B,15000000,TRUE,Fintech,,,,Mubadala Investment Company,"HALA Ventures, 500 Global, MEVP",VC,Perplexity — Fund Portfolio Research,
GCC0050,SkipCash,Qatar,Doha,2021-07,Seed,1920000,TRUE,Fintech,Digital payments platform,,,Private Qatari investors,Local angels,VC,Perplexity — Fund Portfolio Research,
GCC0051,Snoonu,Qatar,Doha,2021-04,Series A,5000000,TRUE,E-commerce & Retail,Super app for e-commerce and delivery,,,Qatar Development Bank,Undisclosed investors,VC,Perplexity — Fund Portfolio Research,
GCC0052,HALA,Saudi Arabia,Riyadh,2021-03,Series A,6500000,TRUE,Fintech,,,,Impact46,Raed Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0053,Lendo,Saudi Arabia,Riyadh,2021-03,Series A,7200000,TRUE,Fintech,,,,Derayah Ventures,"Shorooq Partners, Impact46, 500 Global",VC,Perplexity — Fund Portfolio Research,
GCC0054,NymCard,UAE,Abu Dhabi,2021-02,Series A,7600000,TRUE,Fintech,,,,Shorooq Partners,"OTF Jasoor Ventures, VentureSouq",VC,Perplexity — Fund Portfolio Research,
GCC0055,Spendwisor,Qatar,Doha,2021-01,Pre-Seed,1000000,TRUE,Fintech,Payments and loyalty fintech platform,,,Local angel investors,,VC,Perplexity — Fund Portfolio Research,
GCC0056,CWallet,Qatar,Doha,2021-01,Seed,220000,TRUE,Fintech,Payroll and remittance wallet platform,,,MBK Holding,"360 Nautica, Snoonu Holding",VC,Perplexity — Fund Portfolio Research,
GCC0057,Dibsy,Qatar,Doha,2021-01,Pre-Seed,300000,TRUE,Fintech,Digital payments gateway,,,Local angel investors,,VC,Perplexity — Fund Portfolio Research,
GCC0058,eMushrif,Oman,,2020-12,Series A,2300000,TRUE,SaaS & Enterprise Software,IoT smart bus and school transport management,,,IDO Investments,"Phaze Ventures, OTF Jasoor Ventures, Dtec Ventures, Myrad Holding",VC,Perplexity — Fund Portfolio Research,
GCC0059,Floward,Kuwait,Kuwait City,2020-10,Series A,2750000,TRUE,E-commerce & Retail,Online flowers and gifts e-commerce platform,,,Impact46,"Faith Capital, BNK",VC,Perplexity — Fund Portfolio Research,
GCC0060,Eyewa,UAE,Dubai,2020-08,Series A,2500000,TRUE,E-commerce & Retail,,,,Wamda Capital,Nuwa Capital,VC,Perplexity — Fund Portfolio Research,
GCC0061,Lean Technologies,Saudi Arabia,Riyadh,2020-07,Seed,3500000,TRUE,Fintech,,,,Raed Ventures,"Shorooq Partners, Global Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0062,Baims,Kuwait,Kuwait City,2020-03,Seed,,FALSE,Edtech,Online learning and edtech platform,,,AlWazzan Education,Seeds Partners,VC,Perplexity — Fund Portfolio Research,
GCC0063,Nana,Saudi Arabia,Riyadh,2020-03,Series B,18000000,TRUE,E-commerce & Retail,,,,STV,"MEVP, Wamda Capital",VC,Perplexity — Fund Portfolio Research,
GCC0064,Carzaty,Oman,,2019-12,Growth,4000000,TRUE,E-commerce & Retail,Automotive e-commerce platform,,,IDO Investments,,VC,Perplexity — Fund Portfolio Research,
GCC0065,TruKKer,Saudi Arabia,Riyadh,2019-10,Series A,,FALSE,Logistics & Supply Chain,Digital freight and logistics platform,,,STV,"Riyad Taqnia Fund, Raed Ventures, Vision Ventures",VC,Perplexity — Fund Portfolio Research,
